sampleName,nCount_RNA,nFeature_RNA,percent.mt
WT_0h,3952,2291,0.101214574898785
WT_0h,2444,1564,0.900163666121113
WT_0h,3896,2171,0.436344969199179
WT_0h,4876,2564,0.328137817883511
WT_0h,3259,1781,0.245474071801166
WT_0h,3944,2318,0.735294117647059
WT_0h,6806,3439,1.19012635909492
WT_0h,4150,2371,0.506024096385542
WT_0h,6066,3026,0.412133201450709
WT_0h,5729,2866,0.0349101064758248
WT_0h,7209,3495,0.651962824247468
WT_0h,3740,2040,0.374331550802139
WT_0h,3678,1998,0.0815660685154976
WT_0h,3905,2165,0.793854033290653
WT_0h,4655,2563,0.257787325456498
WT_0h,7340,3383,0.204359673024523
WT_0h,6385,3031,0.125293657008614
WT_0h,2929,1923,0.238989416182998
WT_0h,3724,2191,0.268528464017186
WT_0h,2952,1720,0.101626016260163
WT_0h,3593,2146,0.194823267464514
WT_0h,3771,2061,0.344736144258817
WT_0h,2758,1776,0.108774474256708
WT_0h,6601,3090,0.106044538706257
WT_0h,4430,2535,0.519187358916478
WT_0h,228,217,0.43859649122807
WT_0h,2038,1395,0.490677134445535
WT_0h,35185,7324,2.04348443939179
WT_0h,3693,2193,0.16246953696182
WT_0h,4593,2376,0.152405834966253
WT_0h,11683,4385,0.82170675340238
WT_0h,4874,2575,0.0410340582683627
WT_0h,6300,2985,0.19047619047619
WT_0h,6635,3041,0.633006782215524
WT_0h,5121,2671,0.195274360476469
WT_0h,4884,2527,0.45045045045045
WT_0h,3206,1920,0.155957579538366
WT_0h,2598,1650,0.269438029253272
WT_0h,6035,2773,0.231980115990058
WT_0h,10304,4142,0.349378881987578
WT_0h,6885,3116,0.18881626724764
WT_0h,3280,2090,0.518292682926829
WT_0h,7737,3527,0.129249062944294
WT_0h,3179,1829,0
WT_0h,2458,1523,0.122050447518308
WT_0h,5453,2957,0.293416467999266
WT_0h,4308,2311,0.162488393686165
WT_0h,7128,3092,0.0701459034792368
WT_0h,3739,2230,0.0534902380315592
WT_0h,5184,2858,0.154320987654321
WT_0h,3278,2041,0.12202562538133
WT_0h,3491,1980,0.0572901747350329
WT_0h,6355,2966,0.0629425649095201
WT_0h,1765,1160,0.056657223796034
WT_0h,5640,2807,1.25886524822695
WT_0h,6846,3237,0.321355536079462
WT_0h,3648,2053,0.630482456140351
WT_0h,4598,2433,0.239234449760766
WT_0h,4372,2520,0.526075022872827
WT_0h,6856,3218,0.131271878646441
WT_0h,2884,1869,0.13869625520111
WT_0h,4557,2624,0.153609831029186
WT_0h,4356,2338,0.0459136822773186
WT_0h,6372,2815,0.0627746390458255
WT_0h,1382,956,4.0520984081042
WT_0h,5954,2882,0.201545179711119
WT_0h,4648,2279,0.129087779690189
WT_0h,4944,2645,0.182038834951456
WT_0h,7116,3196,0
WT_0h,4168,2289,2.56717850287908
WT_0h,4618,2433,0.10827197921178
WT_0h,2306,1405,0.0867302688638335
WT_0h,3687,2025,0.27122321670735
WT_0h,5596,2504,0.0536097212294496
WT_0h,3381,1906,0.147885241052943
WT_0h,750,548,1.33333333333333
WT_0h,3281,1864,0.365742151782993
WT_0h,4707,2475,0.446144040790312
WT_0h,4052,2270,0.444225074037512
WT_0h,3525,1984,0.198581560283688
WT_0h,3976,2060,0.326961770623742
WT_0h,1456,1064,0.343406593406593
WT_0h,5368,2808,0.11177347242921
WT_0h,4194,2272,0.286123032904149
WT_0h,3478,2047,1.06382978723404
WT_0h,4944,2765,1.17313915857605
WT_0h,13385,5116,1.50915203586104
WT_0h,14118,5123,0.630400906644001
WT_0h,11489,4373,0.156671598920707
WT_0h,5200,2502,0.0576923076923077
WT_0h,2099,1368,0.0952834683182468
WT_0h,3182,1838,0.0628535512256442
WT_0h,6975,3631,0.129032258064516
WT_0h,5086,2497,0
WT_0h,1337,769,2.31862378459237
WT_0h,3845,2277,0.312093628088427
WT_0h,3844,2007,0.208116545265349
WT_0h,3703,1974,0.135025654874426
WT_0h,3422,1910,0.263004091174752
WT_0h,4937,2452,0.0607656471541422
WT_0h,11640,5159,0.266323024054983
WT_0h,2195,1504,0.728929384965831
WT_0h,4707,2479,0.637348629700446
WT_0h,6006,2852,0.133200133200133
WT_0h,3284,1859,0.213154689403167
WT_0h,3060,1915,1.33986928104575
WT_0h,16389,5203,0.122033070962231
